Account Name,DBA,City,State,County,Business License App Category Name,Expire Date
"101 Clean Dogs ""LLC""",N/A,Erie,CO,BOULDER,Pet Grooming Facility - Mobile Groomer,3/2/2026
"1480 Cafe, LLC",Pet Supplies Plus,Denver,CO,DENVER,Retail / Wholesale of Pet Animals,3/2/2026
"1480 Cafe, LLC",Pet Supplies Plus,Denver,CO,DENVER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
17th and Pawlished LLC,N/A,Greeley,CO,WELD,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"2 Blondes All Breed Rescue, Inc.",N/A,Lakewood,CO,JEFFERSON,Pet Animal Large Rescue,3/2/2026
303grooming llc,Shear Magic Pet Grooming,lakewood,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"38th State Enterprises, LLC",Zoomin Groomin Littleton,Littleton,CO,ARAPAHOE,Pet Grooming Facility - Mobile Groomer,3/2/2026
"4 Healthy Paws, Inc.",Wag N' Wash Natural Food & Bakery,Aurora,CO,ARAPAHOE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
4 Paws 4 Life Rescue,"Star Boarding Kennel, Inc",Sedalia,CO,DOUGLAS,Pet Boarding and/or Training,3/2/2026
4 Paws 4 Life Rescue,"Star Boarding Kennel, Inc",Sedalia,CO,DOUGLAS,Pet Animal Large Rescue,3/2/2026
4 Paws 4 Life Rescue,"Star Boarding Kennel, Inc",Sedalia,CO,DOUGLAS,Pet Animal Small Shelter,3/2/2026
4 Paws Partners LLC,Wag N Wash Natural Food & Bakery,Broomfield,CO,BROOMFIELD,Pet Grooming Facility - Primary Facility Owner,3/2/2026
4 Paws Ride & Play,N/A,Erie,CO,BOULDER,Pet Handler,3/2/2026
4 Your Paws Only Mobile Grooming LLC,N/A,Peyton,CO,EL PASO,Pet Grooming Facility - Mobile Groomer,3/2/2026
5 Star Camelot LLC,Camelot Car and Dog Wash,Golden,CO,JEFFERSON,Pet Grooming Facility - Self Wash Facility,3/2/2026
5280 Ragdolls LLC,N/A,Brighton,CO,ADAMS,Cat Breeder,3/2/2026
5280 Reptile Room LLC,5280 Reptile Room (North),Northglenn,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026
5280 Reptile Room LLC,5280 Reptile Room (North),Northglenn,CO,ADAMS,Reptile / Amphibian Breeder,3/2/2026
5280 Reptile Room LLC,5280 Reptile Room (North),Northglenn,CO,ADAMS,Small Animal Breeder,3/2/2026
5280 Reptile Room LLC,5280 Reptile Room (North),Northglenn,CO,ADAMS,Pet Animal Small Shelter,3/2/2026
5280 Reptile Room LLC,N/A,Wheat Ridge,CO,JEFFERSON,Retail / Wholesale of Pet Animals,3/2/2026
5280 Reptile Room LLC,N/A,Wheat Ridge,CO,JEFFERSON,Small Animal Breeder,3/2/2026
5280 Reptile Room LLC,N/A,Wheat Ridge,CO,JEFFERSON,Pet Animal Small Shelter,3/2/2026
5th Avenue Pets Inc,Pet Ranch,Denver,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026
5th Avenue Pets Inc,Pet Ranch,Denver,CO,ADAMS,Small Animal Breeder,3/2/2026
9 Lives Rescue,N/A,Colorado Springs,CO,EL PASO,Pet Animal Small Rescue,3/2/2026
A and J Enterprises LLC,Your Best Friends Boarding Kennel and Grooming House,Grand Junction,CO,MESA,Pet Boarding and/or Training,3/2/2026
A and J Enterprises LLC,Your Best Friends Boarding Kennel and Grooming House,Grand Junction,CO,MESA,Pet Grooming Facility - Primary Facility Owner,3/2/2026
A Better Way pet services,N/A,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Secondary Facility Owner,3/2/2026
A Cat Rescue Out in the Sticks,N/A,Eckley,CO,YUMA,Pet Handler,3/2/2026
A Cat Rescue Out in the Sticks,N/A,Eckley,CO,YUMA,Pet Animal Small Shelter,3/2/2026
"A Cut Above Dog Grooming, Inc",N/A,Littleton,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"A Dog Named Black Jack Animal Rescue Recovery, Inc.",N/A,Lakewood,CO,JEFFERSON,Pet Animal Large Rescue,3/2/2026
"A Dog's World, LLC",N/A,Littleton,CO,DOUGLAS,Pet Boarding and/or Training,3/2/2026
"A Dog's World, LLC",N/A,Littleton,CO,DOUGLAS,Pet Transporter,3/2/2026
